GEOID,NAME,COUNTYNAME,PlanningRegion,ARCModelingArea,# Adults 2020,% Adults 2020,# Children 2020,% Children 2020,# Total population 2020,# Non-Hispanic White 2020,% Non-Hispanic Black 2020,# Non-Hispanic Black 2020,% Hispanic all races 2020,% Non-Hispanic other race 2020,# Non-Hispanic other race 2020,% Non-Hispanic White adults 2020,% Non-Hispanic Black adults 2020,# Non-Hispanic White adults 2020,# Non-Hispanic Black adults 2020,# Hispanic adults all races 2020,% Hispanic adults all races 2020,# Non-Hispanic Black children 2020,% Non-Hispanic White children 2020,# Non-Hispanic White children 2020,% Non-Hispanic Black children 2020,% Hispanic children all races 2020,# Hispanic children all races 2020,# Non-Hispanic other race adults 2020,% Non-Hispanic other race adults 2020,# Non-Hispanic other race children 2020,% Non-Hispanic Asian or Pacific Islander 2020,# Non-Hispanic Asian or Pacific Islander 2020,# Non-Hispanic Asian or Pacific Islander adults 2020,% Non-Hispanic Asian or Pacific Islander adults 2020,# Non-Hispanic Asian or Pacific Islander children 2020,% Non-Hispanic Asian or Pacific Islander children 2020,% Non-Hispanic White 2020,# Hispanic all races 2020,% Non-Hispanic other race children 2020
13087970301,Census Tract 9703.01,Decatur,Southwest Georgia,No,2470,75.2,813,24.8,3283,1205,52.9,1736,6.8,2.5,81,30,38.4,985,1260,141,4.3,476,6.7,220,14.5,2.5,81,55,1.7,26,1.2,39,29,0.9,10,0.3,36.7,222,0.8
13235950201,Census Tract 9502.01,Pulaski,Middle Georgia,No,2071,75.5,673,24.5,2744,1103,53.8,1475,2.3,2.7,73,31.6,39.5,866,1085,57,2.1,390,8.6,237,14.2,0.2,5,46,1.7,27,1.1,31,17,0.6,14,0.5,40.2,62,1
13039010603,Census Tract 106.03,Camden,Coastal Regional Commission,No,2300,82.6,485,17.4,2785,2238,9.5,264,4.2,5.6,156,68.2,7.8,1899,218,82,2.9,46,12.2,339,1.7,1.2,34,93,3.3,63,0.4,11,8,0.3,3,0.1,80.4,116,2.3
13183970101,Census Tract 9701.01,Long,Coastal Regional Commission,No,2693,71.9,1055,28.1,3748,1928,15.1,567,27.7,5.1,192,38.7,11.9,1449,447,666,17.8,120,12.8,479,3.2,9.9,372,115,3.1,77,0.6,23,16,0.4,7,0.2,51.4,1038,2.1
13029920104,Census Tract 9201.04,Bryan,Coastal Regional Commission,No,762,76.9,229,23.1,991,824,8.8,87,3,4.3,43,63.8,7.8,632,77,17,1.7,10,19.4,192,1,1.3,13,32,3.2,11,0.7,7,4,0.4,3,0.3,83.1,30,1.1
13277960402,Census Tract 9604.02,Tift,Southern Georgia,No,1714,71.7,678,28.3,2392,973,36,860,19,3.3,78,33.7,23.6,805,564,275,11.5,296,7,168,12.4,7.5,179,46,1.9,32,1.1,27,24,1,3,0.1,40.7,454,1.3
13031110302,Census Tract 1103.02,Bulloch,Coastal Regional Commission,No,4889,78.3,1356,21.7,6245,3197,35.7,2231,8,2.9,180,40.7,29,2544,1814,313,5,417,10.5,653,6.7,3,185,107,1.7,73,2.2,139,111,1.8,28,0.4,51.2,498,1.2
13305970201,Census Tract 9702.01,Wayne,Heart of Georgia Altamaha,No,2751,75.5,891,24.5,3642,2978,8.7,318,5.7,3.3,119,63.7,6.3,2321,229,101,2.8,89,18,657,2.4,2.9,105,79,2.2,40,0.6,21,21,0.6,0,0,81.8,206,1.1
13031110701,Census Tract 1107.01,Bulloch,Coastal Regional Commission,No,4564,78.3,1266,21.7,5830,4269,16.4,954,4.5,4.5,264,59.7,11.7,3482,681,164,2.8,273,13.5,787,4.7,1.7,99,177,3,87,1.4,80,60,1,20,0.3,73.2,263,1.5
13191110202,Census Tract 1102.02,McIntosh,Coastal Regional Commission,No,1447,79.5,372,20.5,1819,882,46,836,2,2.9,52,38.9,36.4,707,663,29,1.6,173,9.6,175,9.5,0.4,7,40,2.2,12,0.7,13,8,0.4,5,0.3,48.5,36,0.7
13229960402,Census Tract 9604.02,Pierce,Southern Georgia,No,1812,75.7,582,24.3,2394,2142,3,73,4.4,2.8,68,68.8,2.3,1648,55,65,2.7,18,20.6,494,0.8,1.7,40,39,1.6,29,0.3,6,5,0.2,1,0,89.5,105,1.2
13127000406,Census Tract 4.06,Glynn,Coastal Regional Commission,No,4704,76.4,1456,23.6,6160,4056,15.6,960,10.2,5.1,315,53.3,10.9,3285,673,392,6.4,287,12.5,771,4.7,3.8,235,203,3.3,112,3.3,202,151,2.5,51,0.8,65.8,627,1.8
13051010812,Census Tract 108.12,Chatham,Coastal Regional Commission,No,4033,82,887,18,4920,3059,19.4,953,5.5,3.7,182,53.3,14.8,2621,728,185,3.8,225,8.9,438,4.6,1.7,84,138,2.8,44,9.3,457,361,7.3,96,2,62.2,269,0.9
13215010206,Census Tract 102.06,Muscogee,River Valley,No,2916,78,823,22,3739,2080,21.9,820,7.2,6.4,241,46.4,16.3,1735,609,183,4.9,211,9.2,345,5.6,2.4,88,143,3.8,98,8.7,327,246,6.6,81,2.2,55.6,271,2.6
13215010304,Census Tract 103.04,Muscogee,River Valley,No,1827,78.7,495,21.3,2322,1365,20.4,474,9,5.2,120,47.9,16,1113,372,144,6.2,102,10.9,252,4.4,2.8,64,82,3.5,38,6.7,155,116,5,39,1.7,58.8,208,1.6
13321950201,Census Tract 9502.01,Worth,Southwest Georgia,No,1858,81.6,419,18.4,2277,1724,18.1,412,3.5,2.3,52,62.3,15.1,1418,343,44,1.9,69,13.4,306,3,1.6,36,46,2,6,0.4,9,7,0.3,2,0.1,75.7,80,0.3
13051010704,Census Tract 107.04,Chatham,Coastal Regional Commission,No,3653,85.8,607,14.2,4260,1964,29.9,1275,10,5.8,248,41.6,24.8,1772,1057,329,7.7,218,4.5,192,5.1,2.2,95,212,5,36,8.2,349,283,6.6,66,1.5,46.1,424,0.8
13245010602,Census Tract 106.02,Richmond,Central Savannah River Area,No,1496,61,955,39,2451,36,94.5,2315,1,2.7,66,1.3,57.7,31,1415,16,0.7,900,0.2,5,36.7,0.4,9,30,1.2,36,0.4,9,4,0.2,5,0.2,1.5,25,1.5
