GEOID,NAME,COUNTYNAME,PlanningRegion,ARCModelingArea,# Adults 2020,% Adults 2020,# Children 2020,% Children 2020,# Total population 2020,# Non-Hispanic White 2020,% Non-Hispanic Black 2020,# Non-Hispanic Black 2020,% Hispanic all races 2020,% Non-Hispanic other race 2020,# Non-Hispanic other race 2020,% Non-Hispanic White adults 2020,% Non-Hispanic Black adults 2020,# Non-Hispanic White adults 2020,# Non-Hispanic Black adults 2020,# Hispanic adults all races 2020,% Hispanic adults all races 2020,# Non-Hispanic Black children 2020,% Non-Hispanic White children 2020,# Non-Hispanic White children 2020,% Non-Hispanic Black children 2020,% Hispanic children all races 2020,# Hispanic children all races 2020,# Non-Hispanic other race adults 2020,% Non-Hispanic other race adults 2020,# Non-Hispanic other race children 2020,% Non-Hispanic Asian or Pacific Islander 2020,# Non-Hispanic Asian or Pacific Islander 2020,# Non-Hispanic Asian or Pacific Islander adults 2020,% Non-Hispanic Asian or Pacific Islander adults 2020,# Non-Hispanic Asian or Pacific Islander children 2020,% Non-Hispanic Asian or Pacific Islander children 2020,% Non-Hispanic White 2020,# Hispanic all races 2020,% Non-Hispanic other race children 2020
13121008801,Census Tract 88.01,Fulton,Atlanta Regional Commission,Yes,1986,74.8,668,25.2,2654,1226,35.9,952,9.5,5.5,145,35.8,27.1,949,719,157,5.9,233,10.4,277,8.8,3.5,94,89,3.4,56,3,80,72,2.7,8,0.3,46.2,251,2.1
13121009607,Census Tract 96.07,Fulton,Atlanta Regional Commission,Yes,4363,92.7,346,7.3,4709,3172,14.7,693,7.3,3.1,147,64.5,13.2,3036,622,269,5.7,71,2.9,136,1.5,1.6,73,114,2.4,33,7.5,355,322,6.8,33,0.7,67.4,342,0.7
13121011634,Census Tract 116.34,Fulton,Atlanta Regional Commission,Yes,2052,75.4,669,24.6,2721,1128,14.5,395,14.8,5.9,160,33.8,10.5,919,286,278,10.2,109,7.7,209,4,4.6,126,108,4,52,23.3,634,461,16.9,173,6.4,41.5,404,1.9
13121011307,Census Tract 113.07,Fulton,Atlanta Regional Commission,Yes,3345,72.2,1286,27.8,4631,66,92.1,4264,3.2,2.9,133,1.2,66.4,55,3074,105,2.3,1190,0.2,11,25.7,1,45,93,2,40,0.4,18,18,0.4,0,0,1.4,150,0.9
13067031221,Census Tract 312.21,Cobb,Atlanta Regional Commission,Yes,2737,78.5,751,21.5,3488,1356,38.9,1357,6.7,6.3,220,32.9,30.2,1147,1052,168,4.8,305,6,209,8.7,1.9,65,119,3.4,101,9.2,322,251,7.2,71,2,38.9,233,2.9
13067030369,Census Tract 303.69,Cobb,Atlanta Regional Commission,Yes,2582,70.5,1080,29.5,3662,2693,2.1,77,4.4,5.7,208,54,1.6,1978,58,107,2.9,19,19.5,715,0.5,1.5,55,82,2.2,126,14.3,522,357,9.7,165,4.5,73.5,162,3.4
13121010124,Census Tract 101.24,Fulton,Atlanta Regional Commission,Yes,1387,80.4,339,19.6,1726,353,52.5,906,19.2,4.4,76,18.8,41,324,708,247,14.3,198,1.7,29,11.5,4.9,85,59,3.4,17,3.4,59,49,2.8,10,0.6,20.5,332,1
13121011435,Census Tract 114.35,Fulton,Atlanta Regional Commission,Yes,3369,78.9,902,21.1,4271,2413,13.7,586,20.1,7.1,302,47.9,10.4,2045,446,557,13,140,8.6,368,3.3,7.1,303,222,5.2,80,2.6,110,99,2.3,11,0.3,56.5,860,1.9
13089022405,Census Tract 224.05,DeKalb,Atlanta Regional Commission,Yes,2644,94.8,144,5.2,2788,1011,34.8,969,6.3,3.6,100,34.6,34.6,966,966,160,5.7,3,1.6,45,0.1,0.5,15,70,2.5,30,19.1,533,482,17.3,51,1.8,36.3,175,1.1
13135050579,Census Tract 505.79,Gwinnett,Atlanta Regional Commission,Yes,3450,72.8,1287,27.2,4737,2134,18.1,858,20.5,5.1,242,36,12.1,1705,573,622,13.1,285,9.1,429,6,7.4,349,145,3.1,97,11.2,532,405,8.5,127,2.7,45,971,2
13121006500,Census Tract 65,Fulton,Atlanta Regional Commission,Yes,3002,81.2,695,18.8,3697,756,70.6,2609,3.6,4.4,161,18.9,54.7,699,2024,112,3,585,1.5,57,15.8,0.6,22,135,3.7,26,1,37,32,0.9,5,0.1,20.4,134,0.7
13089021410,Census Tract 214.10,DeKalb,Atlanta Regional Commission,Yes,3996,76.8,1208,23.2,5204,1464,9.4,489,55.1,2.9,149,25.6,8.1,1334,424,1918,36.9,65,2.5,130,1.2,18.3,950,106,2,43,4.5,234,214,4.1,20,0.4,28.1,2868,0.8
13021010400,Census Tract 104,Bibb,Middle Georgia,No,1543,79.9,388,20.1,1931,64,92,1777,1.5,2.8,55,3.3,73.8,64,1425,10,0.5,352,0,0,18.2,0.9,18,40,2.1,15,0.4,7,4,0.2,3,0.2,3.3,28,0.8
13121002900,Census Tract 29,Fulton,Atlanta Regional Commission,Yes,2352,92.1,201,7.9,2553,1475,27.3,696,5.2,5.8,148,54.9,24,1401,612,124,4.9,84,2.9,74,3.3,0.3,8,122,4.8,26,4,102,93,3.6,9,0.4,57.8,132,1
13021012700,Census Tract 127,Bibb,Middle Georgia,No,1282,69.6,561,30.4,1843,90,85.8,1582,5,3.9,72,4.2,59.4,78,1094,65,3.5,488,0.7,12,26.5,1.5,28,42,2.3,30,0.3,6,3,0.2,3,0.2,4.9,93,1.6
13121003600,Census Tract 36,Fulton,Atlanta Regional Commission,Yes,805,89.2,97,10.8,902,95,78.4,707,4.1,5.2,47,9.8,70.8,88,639,25,2.8,68,0.8,7,7.5,1.3,12,37,4.1,10,1.8,16,16,1.8,0,0,10.5,37,1.1
13121006300,Census Tract 63,Fulton,Atlanta Regional Commission,Yes,1381,78.6,376,21.4,1757,149,83.3,1463,3.4,4.6,80,7.9,64.3,139,1130,46,2.6,333,0.6,10,19,0.7,13,60,3.4,20,0.3,6,6,0.3,0,0,8.5,59,1.1
13135050321,Census Tract 503.21,Gwinnett,Atlanta Regional Commission,Yes,3482,75.1,1156,24.9,4638,3644,4.7,219,5,4,186,59.6,3.6,2766,165,145,3.1,54,18.9,878,1.2,1.9,88,108,2.3,78,7.7,356,298,6.4,58,1.3,78.6,233,1.7
13073030202,Census Tract 302.02,Columbia,Central Savannah River Area,No,2197,77.9,622,22.1,2819,1964,14.3,403,6.8,6.2,176,56.5,10.6,1592,298,128,4.5,105,13.2,372,3.7,2.3,65,109,3.9,67,2.9,83,70,2.5,13,0.5,69.7,193,2.4
13121008903,Census Tract 89.03,Fulton,Atlanta Regional Commission,Yes,1985,82.1,434,17.9,2419,539,35.1,850,32.2,5,122,20.9,30.4,505,736,519,21.5,114,1.4,34,4.7,10.8,261,111,4.6,11,5.3,128,114,4.7,14,0.6,22.3,780,0.5
13089021411,Census Tract 214.11,DeKalb,Atlanta Regional Commission,Yes,3074,81.6,694,18.4,3768,2958,7.2,270,5,4,150,64.9,6.1,2444,228,154,4.1,42,13.6,514,1.1,0.9,33,81,2.1,69,5.4,203,167,4.4,36,1,78.5,187,1.8
13117130607,Census Tract 1306.07,Forsyth,Atlanta Regional Commission,Yes,6001,66.2,3065,33.8,9066,3226,2.7,247,4.3,3,270,27.1,1.9,2457,170,246,2.7,77,8.5,769,0.8,1.5,140,129,1.4,141,54.5,4937,2999,33.1,1938,21.4,35.6,386,1.6
13121005300,Census Tract 53,Fulton,Atlanta Regional Commission,Yes,3224,77.4,941,22.6,4165,2523,26.2,1093,5,5.6,233,48.6,19.1,2026,797,161,3.9,296,11.9,497,7.1,1.1,46,144,3.5,89,2.6,109,96,2.3,13,0.3,60.6,207,2.1
13063040519,Census Tract 405.19,Clayton,Atlanta Regional Commission,Yes,3761,74.7,1273,25.3,5034,80,92.2,4641,2.7,3,149,1.4,68.6,71,3455,106,2.1,1186,0.2,9,23.6,0.6,29,105,2.1,44,0.6,29,24,0.5,5,0.1,1.6,135,0.9
13319960400,Census Tract 9604,Wilkinson,Middle Georgia,No,1507,80.8,359,19.2,1866,1334,22.1,412,1.6,4.7,88,58.3,18.2,1088,340,19,1,72,13.2,246,3.9,0.5,10,57,3.1,31,0.2,3,3,0.2,0,0,71.5,29,1.7
13121002100,Census Tract 21,Fulton,Atlanta Regional Commission,Yes,2159,85.6,362,14.4,2521,654,56.4,1423,6.3,6.5,163,25,45.1,631,1137,149,5.9,286,0.9,23,11.3,0.4,9,127,5,36,4.9,123,115,4.6,8,0.3,25.9,158,1.4
13135050541,Census Tract 505.41,Gwinnett,Atlanta Regional Commission,Yes,3588,73.7,1279,26.3,4867,563,36.9,1798,43.2,4.3,211,10.2,28.2,495,1371,1434,29.5,427,1.4,68,8.8,13.7,667,127,2.6,84,4,194,161,3.3,33,0.7,11.6,2101,1.7
13313001300,Census Tract 13,Whitfield,Northwest Georgia,No,3031,67.9,1431,32.1,4462,908,3.7,165,73.7,2.1,93,16.5,3.2,735,142,2085,46.7,23,3.9,173,0.5,27,1203,63,1.4,30,0.2,8,6,0.1,2,0,20.3,3288,0.7
13089021213,Census Tract 212.13,DeKalb,Atlanta Regional Commission,Yes,2560,72.5,969,27.5,3529,3042,1.8,65,4.3,4,142,63.4,1.4,2237,49,104,2.9,16,22.8,805,0.5,1.4,49,69,2,73,3.6,127,101,2.9,26,0.7,86.2,153,2.1
13059001900,Census Tract 19,Clarke,Northeast Georgia,No,2857,79.6,734,20.4,3591,2382,22.8,818,4.2,5,179,56.2,14.7,2019,528,129,3.6,290,10.1,363,8.1,0.6,21,128,3.6,51,1.7,62,53,1.5,9,0.3,66.3,150,1.4
13067030412,Census Tract 304.12,Cobb,Atlanta Regional Commission,Yes,3627,78.6,985,21.4,4612,949,38.3,1767,31.1,7.6,350,18.7,30.4,864,1400,1007,21.8,367,1.8,85,8,9.3,429,265,5.7,85,2.4,110,91,2,19,0.4,20.6,1436,1.8
13139000800,Census Tract 8,Hall,Georgia Mountains,Yes,2510,72.1,972,27.9,3482,599,34,1185,46.1,1.6,55,15.5,28.5,539,991,906,26,194,1.7,60,5.6,20,698,37,1.1,18,1.1,39,37,1.1,2,0.1,17.2,1604,0.5
13165960100,Census Tract 9601,Jenkins,Central Savannah River Area,No,5457,81.9,1209,18.1,6666,3399,42.6,2841,3.8,2.4,157,43.7,34,2913,2264,157,2.4,577,7.3,486,8.7,1.4,95,106,1.6,51,0.3,17,17,0.3,0,0,51,252,0.8
13021011500,Census Tract 115,Bibb,Middle Georgia,No,721,71.4,289,28.6,1010,29,94.4,953,0.8,2,20,2,67.7,20,684,6,0.6,269,0.9,9,26.6,0.2,2,11,1.1,9,0,0,0,0,0,0,2.9,8,0.9
13089021308,Census Tract 213.08,DeKalb,Atlanta Regional Commission,Yes,3324,75.9,1056,24.1,4380,939,4.8,209,57.6,2.3,99,19.6,4.1,860,180,1697,38.7,29,1.8,79,0.7,18.8,824,74,1.7,25,14,612,513,11.7,99,2.3,21.4,2521,0.6
13135050433,Census Tract 504.33,Gwinnett,Atlanta Regional Commission,Yes,1884,73.4,683,26.6,2567,421,17.5,448,51.4,2.9,75,14.3,14.5,367,371,842,32.8,77,2.1,54,3,18.6,478,53,2.1,22,11.8,303,251,9.8,52,2,16.4,1320,0.9
13117130406,Census Tract 1304.06,Forsyth,Atlanta Regional Commission,Yes,5585,71.5,2223,28.5,7808,3855,5.6,435,18,5.4,418,38.1,3.8,2978,298,947,12.1,137,11.2,877,1.8,5.9,460,260,3.3,158,21.7,1693,1102,14.1,591,7.6,49.4,1407,2
13303950100,Census Tract 9501,Washington,Central Savannah River Area,No,1395,82.4,298,17.6,1693,1157,28.4,481,1.2,1.9,33,55.8,24.3,944,411,13,0.8,70,12.6,213,4.1,0.5,8,27,1.6,6,0.1,1,0,0,1,0.1,68.3,21,0.4
13059000600,Census Tract 6,Clarke,Northeast Georgia,No,2360,88.1,319,11.9,2679,1837,21.5,576,2.9,3.9,104,66.3,13.7,1775,368,67,2.5,208,2.3,62,7.8,0.4,10,69,2.6,35,3.2,85,81,3,4,0.1,68.6,77,1.3
13141480400,Census Tract 4804,Hancock,Central Savannah River Area,No,5123,85.2,887,14.8,6010,1093,79,4745,0.6,1.6,98,16.5,66.3,993,3986,31,0.5,759,1.7,100,12.6,0.1,8,78,1.3,20,0.6,35,35,0.6,0,0,18.2,39,0.3
13089023213,Census Tract 232.13,DeKalb,Atlanta Regional Commission,Yes,4593,79.8,1161,20.2,5754,151,86.9,5000,3.6,4,230,2.4,69.4,136,3994,148,2.6,1006,0.3,15,17.5,1,58,192,3.3,38,2.9,167,123,2.1,44,0.8,2.6,206,0.7
13089021208,Census Tract 212.08,DeKalb,Atlanta Regional Commission,Yes,3665,84.3,684,15.7,4349,2386,11.2,489,14.7,5.9,255,47.8,9.8,2077,425,469,10.8,64,7.1,309,1.5,3.9,171,196,4.5,59,13.3,579,498,11.5,81,1.9,54.9,640,1.4
13067031111,Census Tract 311.11,Cobb,Atlanta Regional Commission,Yes,3005,87.4,435,12.6,3440,1752,30.3,1041,9.1,5.3,184,46.2,26.4,1588,907,233,6.8,134,4.8,164,3.9,2.3,80,141,4.1,43,4.4,150,136,4,14,0.4,50.9,313,1.3
13073030201,Census Tract 302.01,Columbia,Central Savannah River Area,No,5071,81,1186,19,6257,4357,15,940,6.4,4.4,274,58.8,11.3,3677,709,271,4.3,231,10.9,680,3.7,2.1,129,191,3.1,83,4.6,286,223,3.6,63,1,69.6,400,1.3
13089023505,Census Tract 235.05,DeKalb,Atlanta Regional Commission,Yes,2200,83.7,427,16.3,2627,220,85.4,2244,3.4,2.6,68,7.7,70.8,203,1861,77,2.9,383,0.6,17,14.6,0.5,13,54,2.1,14,0.2,5,5,0.2,0,0,8.4,90,0.5
13121005200,Census Tract 52,Fulton,Atlanta Regional Commission,Yes,3695,78.3,1024,21.7,4719,3026,21.7,1022,6,5.3,249,52.2,15.8,2463,747,200,4.2,275,11.9,563,5.8,1.8,83,156,3.3,93,2.9,139,129,2.7,10,0.2,64.1,283,2
13021010500,Census Tract 105,Bibb,Middle Georgia,No,2867,89.2,348,10.8,3215,468,58.1,1869,23.5,1.7,56,14.5,48.4,467,1555,738,23,314,0,1,9.8,0.5,16,41,1.3,15,2.1,68,66,2.1,2,0.1,14.6,754,0.5
13117130302,Census Tract 1303.02,Forsyth,Atlanta Regional Commission,Yes,6491,69.5,2853,30.5,9344,6719,3.8,354,6.1,4.7,440,52.5,2.6,4907,241,330,3.5,113,19.4,1812,1.2,2.6,243,224,2.4,216,13.5,1258,789,8.4,469,5,71.9,573,2.3
13241970202,Census Tract 9702.02,Rabun,Georgia Mountains,No,2323,81.3,536,18.7,2859,2498,0.9,25,6.8,4.4,127,72.5,0.8,2073,23,123,4.3,2,14.9,425,0.1,2.5,72,92,3.2,35,0.5,14,12,0.4,2,0.1,87.4,195,1.2
13263960200,Census Tract 9602,Talbot,River Valley,No,1547,81.1,360,18.9,1907,630,63.3,1208,1.8,1.5,28,29.4,49.8,560,949,10,0.5,259,3.7,70,13.6,1.3,24,21,1.1,7,0.4,7,7,0.4,0,0,33,34,0.4
13021010100,Census Tract 101,Bibb,Middle Georgia,No,1149,72,447,28,1596,114,87.1,1390,2.4,3.3,52,6,62.5,95,997,30,1.9,393,1.2,19,24.6,0.5,8,25,1.6,27,0.1,2,2,0.1,0,0,7.1,38,1.7
13121002400,Census Tract 24,Fulton,Atlanta Regional Commission,Yes,1899,75.8,605,24.2,2504,156,85.7,2145,3.9,3.2,81,5.4,64.1,135,1605,75,3,540,0.8,21,21.6,0.9,22,63,2.5,18,1,25,21,0.8,4,0.2,6.2,97,0.7
13067031207,Census Tract 312.07,Cobb,Atlanta Regional Commission,Yes,4738,91.4,444,8.6,5182,2448,31.8,1650,7.7,4.7,244,45.2,28.2,2340,1460,353,6.8,190,2.1,108,3.7,0.9,48,199,3.8,45,8.5,439,386,7.4,53,1,47.2,401,0.9
13089023000,Census Tract 230,DeKalb,Atlanta Regional Commission,Yes,1780,81.6,402,18.4,2182,1728,9.1,198,3.9,5.5,119,65.6,8.2,1431,180,52,2.4,18,13.6,297,0.8,1.5,33,72,3.3,47,2.4,52,45,2.1,7,0.3,79.2,85,2.2
13121003200,Census Tract 32,Fulton,Atlanta Regional Commission,Yes,2213,91.2,213,8.8,2426,1688,14.1,342,7.8,6.3,152,64.6,13.3,1568,323,167,6.9,19,4.9,120,0.8,0.9,23,103,4.2,49,2.2,54,52,2.1,2,0.1,69.6,190,2
13221960100,Census Tract 9601,Oglethorpe,Northeast Georgia,No,1464,79.6,375,20.4,1839,1321,16.5,304,4.2,3.5,65,57.8,14.1,1063,260,53,2.9,44,14,258,2.4,1.4,25,52,2.8,13,3.9,71,36,2,35,1.9,71.8,78,0.7
13121011624,Census Tract 116.24,Fulton,Atlanta Regional Commission,Yes,2929,73,1086,27,4015,2290,7.3,295,5.7,5.8,232,43.8,5.1,1757,203,153,3.8,92,13.3,533,2.3,1.8,74,131,3.3,101,24.2,971,685,17.1,286,7.1,57,227,2.5
13067030342,Census Tract 303.42,Cobb,Atlanta Regional Commission,Yes,3677,73.2,1345,26.8,5022,3923,5,249,5.6,5.6,279,58.4,4.1,2933,206,181,3.6,43,19.7,990,0.9,2,101,149,3,130,5.8,289,208,4.1,81,1.6,78.1,282,2.6
13117130606,Census Tract 1306.06,Forsyth,Atlanta Regional Commission,Yes,3869,73.2,1419,26.8,5288,3355,3.9,205,5.3,4.3,228,48.8,2.9,2578,152,183,3.5,53,14.7,777,1,1.9,98,150,2.8,78,23.1,1219,806,15.2,413,7.8,63.4,281,1.5
13121006802,Census Tract 68.02,Fulton,Atlanta Regional Commission,Yes,663,47.9,721,52.1,1384,5,95.4,1320,3.2,1,14,0.2,45.2,3,625,30,2.2,695,0.1,2,50.2,1,14,5,0.4,9,0.1,1,0,0,1,0.1,0.4,44,0.7
13045910502,Census Tract 9105.02,Carroll,Three Rivers,Yes,2397,72.9,893,27.1,3290,783,38.2,1257,33.3,4,132,20.9,27.4,688,901,699,21.2,356,2.9,95,10.8,12.1,398,94,2.9,38,0.6,21,15,0.5,6,0.2,23.8,1097,1.2
13089023113,Census Tract 231.13,DeKalb,Atlanta Regional Commission,Yes,2464,82.5,521,17.5,2985,1175,43.7,1303,6.1,6.2,185,33.8,36.1,1010,1077,121,4.1,226,5.5,165,7.6,2.1,62,132,4.4,53,4.7,139,124,4.2,15,0.5,39.4,183,1.8
13121005000,Census Tract 50,Fulton,Atlanta Regional Commission,Yes,3017,89.6,349,10.4,3366,1937,23.5,792,10.2,4.7,159,51.8,20.8,1743,699,313,9.3,93,5.8,194,2.8,0.9,30,132,3.9,27,4,135,130,3.9,5,0.1,57.5,343,0.8
13121010127,Census Tract 101.27,Fulton,Atlanta Regional Commission,Yes,2115,82.7,442,17.3,2557,1307,17.5,447,10,4.5,116,45.2,13.2,1155,337,189,7.4,110,5.9,152,4.3,2.6,67,86,3.4,30,16.9,431,348,13.6,83,3.2,51.1,256,1.2
13089023322,Census Tract 233.22,DeKalb,Atlanta Regional Commission,Yes,2334,77.7,670,22.3,3004,123,86,2583,5.1,3,91,3.3,67.4,100,2025,93,3.1,558,0.8,23,18.6,2,60,69,2.3,22,1.8,54,47,1.6,7,0.2,4.1,153,0.7
13245010205,Census Tract 102.05,Richmond,Central Savannah River Area,No,1866,85.1,326,14.9,2192,812,45.9,1006,7,5.8,127,34.5,37,756,811,133,6.1,195,2.6,56,8.9,1,21,95,4.3,32,4.2,93,71,3.2,22,1,37,154,1.5
13245010208,Census Tract 102.08,Richmond,Central Savannah River Area,No,4998,78.2,1394,21.8,6392,1131,66.6,4255,5.5,5.5,351,15,50.8,959,3250,273,4.3,1005,2.7,172,15.7,1.3,80,250,3.9,101,4.7,302,266,4.2,36,0.6,17.7,353,1.6
13089020902,Census Tract 209.02,DeKalb,Atlanta Regional Commission,Yes,2242,81.5,510,18.5,2752,1238,43.5,1197,4.3,5.2,143,37.4,35.2,1029,968,94,3.4,229,7.6,209,8.3,0.9,24,103,3.7,40,2,56,48,1.7,8,0.3,45,118,1.5
